"STATISTIC" ,"Statistic Label" ,"TLIST(A1)" ,"Year" ,"C02199V02655" ,"Sex"        ,"C04143V04909" ,"Country of Birth" ,"UNIT"        ,"VALUE"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"-"            ,"All countries"    ,"Centimetres" ,"169.2"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"IE"           ,"Ireland"          ,"Centimetres" ,"169.1"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"UK"           ,"UK"               ,"Centimetres" ,"170.4"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"171"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"171.9"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"-"            ,"Both sexes" ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"166.3"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"-"            ,"All countries"    ,"Centimetres" ,"175.7"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"IE"           ,"Ireland"          ,"Centimetres" ,"175.6"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"UK"           ,"UK"               ,"Centimetres" ,"176.8"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"178.9"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"178.6"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"1"            ,"Male"       ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"172.1"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"-"            ,"All countries"    ,"Centimetres" ,"162.3"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"IE"           ,"Ireland"          ,"Centimetres" ,"162.2"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"UK"           ,"UK"               ,"Centimetres" ,"162.3"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"162.4"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"164.8"
"HIS52C01"  ,"Average Height"  ,"2015"      ,"2015" ,"2"            ,"Female"     ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"161.8"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"-"            ,"All countries"    ,"Centimetres" ,"169.5"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"IE"           ,"Ireland"          ,"Centimetres" ,"169.4"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"UK"           ,"UK"               ,"Centimetres" ,"170.5"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"171.5"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"170.4"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"-"            ,"Both sexes" ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"168.8"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"-"            ,"All countries"    ,"Centimetres" ,"175.7"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"IE"           ,"Ireland"          ,"Centimetres" ,"175.7"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"UK"           ,"UK"               ,"Centimetres" ,"176"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"176.6"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"175.8"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"1"            ,"Male"       ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"174.5"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"-"            ,"All countries"    ,"Centimetres" ,"163"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"IE"           ,"Ireland"          ,"Centimetres" ,"162.8"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"UK"           ,"UK"               ,"Centimetres" ,"164.1"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"165.2"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"164.7"
"HIS52C01"  ,"Average Height"  ,"2019"      ,"2019" ,"2"            ,"Female"     ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"163.3"



"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"-"            ,"All countries"    ,"Centimetres" ,"170.6"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"IE"           ,"Ireland"          ,"Centimetres" ,"170.6"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"UK"           ,"UK"               ,"Centimetres" ,"171.1"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"168.7"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"172.3"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"-"            ,"Both sexes" ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"169.6"

"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"-"            ,"All countries"    ,"Centimetres" ,"177.7"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"IE"           ,"Ireland"          ,"Centimetres" ,"177.9"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"UK"           ,"UK"               ,"Centimetres" ,"178"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"179.1"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"178.8"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"1"            ,"Male"       ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"175.9"

"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"-"            ,"All countries"    ,"Centimetres" ,"163.5"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"IE"           ,"Ireland"          ,"Centimetres" ,"163.4"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"UK"           ,"UK"               ,"Centimetres" ,"164.1"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"ZZEUAB"       ,"EU15"             ,"Centimetres" ,"161.1"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"ZZROEU"       ,"Rest of EU"       ,"Centimetres" ,"165.8"
"HIS52C01"  ,"Average Height"  ,"2022"      ,"2022" ,"2"            ,"Female"     ,"ZZROW"        ,"Rest of World"    ,"Centimetres" ,"163.1"
