"STATISTIC","Statistic Label","TLIST(A1)","Year","C03066V03701","Enterprise Size Class","UNIT","VALUE"
"ICA230C01","Broadband speed 100 Mbps or less","2023","2023","-","All Enterprises","%","28.3"
"ICA230C01","Broadband speed 100 Mbps or less","2023","2023","01","Small (10 to 49)","%","30.1"
"ICA230C01","Broadband speed 100 Mbps or less","2023","2023","02","Medium (50 to 249)","%","20.4"
"ICA230C01","Broadband speed 100 Mbps or less","2023","2023","03","Large (250 or more)","%","16.5"
"ICA230C02","Broadband speed 100 to 500 Mbps","2023","2023","-","All Enterprises","%","29.4"
"ICA230C02","Broadband speed 100 to 500 Mbps","2023","2023","01","Small (10 to 49)","%","29.2"
"ICA230C02","Broadband speed 100 to 500 Mbps","2023","2023","02","Medium (50 to 249)","%","30"
"ICA230C02","Broadband speed 100 to 500 Mbps","2023","2023","03","Large (250 or more)","%","31.9"
"ICA230C03","Broadband speed 500 Mbps or more","2023","2023","-","All Enterprises","%","30.8"
"ICA230C03","Broadband speed 500 Mbps or more","2023","2023","01","Small (10 to 49)","%","28.1"
"ICA230C03","Broadband speed 500 Mbps or more","2023","2023","02","Medium (50 to 249)","%","41.8"
"ICA230C03","Broadband speed 500 Mbps or more","2023","2023","03","Large (250 or more)","%","48.5"
"ICA230C04","No fixed broadband","2023","2023","-","All Enterprises","%","11.6"
"ICA230C04","No fixed broadband","2023","2023","01","Small (10 to 49)","%","12.6"
"ICA230C04","No fixed broadband","2023","2023","02","Medium (50 to 249)","%","7.8"
"ICA230C04","No fixed broadband","2023","2023","03","Large (250 or more)","%","3.1"
