Year,Age Group,Driving Tests Passed (Number),Driving Tests Failed (Number)
1999,16 - 21 years,19224,12473
1999,22 - 25 years,20536,12178
1999,26 years and over,42104,31661
2000,16 - 21 years,21612,15097
2000,22 - 25 years,22423,14334
2000,26 years and over,49280,39950
2001,16 - 21 years,22760,17099
2001,22 - 25 years,22764,15696
2001,26 years and over,50045,44012
2002,16 - 21 years,19307,14952
2002,22 - 25 years,20434,14211
2002,26 years and over,41130,38949
2003,16 - 21 years,16087,11944
2003,22 - 25 years,19546,13594
2003,26 years and over,49666,45578
2004,16 - 21 years,19886,15122
2004,22 - 25 years,20222,14465
2004,26 years and over,43070,41218
2005,16 - 21 years,18703,14319
2005,22 - 25 years,18445,12950
2005,26 years and over,36546,36537
2006,16 - 21 years,22082,16974
2006,22 - 25 years,20447,15176
2006,26 years and over,40639,43423
2007,16 - 21 years,25437,17815
2007,22 - 25 years,25998,16732
2007,26 years and over,57931,53953
2008,16 - 21 years,51868,32466
2008,22 - 25 years,50946,29379
2008,26 years and over,119357,104350
2009,16 - 21 years,17622,17421
2009,22 - 25 years,13340,12132
2009,26 years and over,29764,35544
2010,16 - 21 years,16522,20841
2010,22 - 25 years,10009,11318
2010,26 years and over,30866,27269
2011,16 - 21 years,23553,17960
2011,22 - 25 years,12601,10402
2011,26 years and over,29542,33888
2012,16 - 21 years,19039,13715
2012,22 - 25 years,10421,8347
2012,26 years and over,25323,27457
2013,16 - 21 years,19658,14578
2013,22 - 25 years,10807,8925
2013,26 years and over,24080,27211
2014,16 - 21 years,19460,13665
2014,22 - 25 years,11679,8887
2014,26 years and over,25943,27355
2015,16 - 21 years,22555,16247
2015,22 - 25 years,13059,9940
2015,26 years and over,30163,29954
2016,16 - 21 years,22447,16949
2016,22 - 25 years,11213,8915
2016,26 years and over,27710,27165
2017,16 - 21 years,23373,18622
2017,22 - 25 years,12222,10036
2017,26 years and over,30992,30622
2018,16 - 21 years,24535,19794
2018,22 - 25 years,13106,11055
2018,26 years and over,33915,33911
2019,16 - 21 years,33253,25025
2019,22 - 25 years,17389,14148
2019,26 years and over,49848,46716
2020,16 - 21 years,19274,14150
2020,22 - 25 years,8952,7283
2020,26 years and over,19976,17945
2021,16 - 21 years,33776,25653
2021,22 - 25 years,16494,13653
2021,26 years and over,28247,24497
2022,16 - 21 years,34763,29946
2022,22 - 25 years,14846,13524
2022,26 years and over,36798,32600
